Job Result,Job Creation Time,Job Completion Times,Product Name,Cores,Storage (GB)
SUCCESS,7/12/2019 14:48,7/12/2019 16:03,Product 3,6,40
SUCCESS,7/12/2019 14:48,7/12/2019 16:02,Product 3,6,40
SUCCESS,7/12/2019 14:47,7/12/2019 15:59,Product 3,6,40
SUCCESS,7/12/2019 14:47,7/12/2019 16:03,Product 3,6,40
SUCCESS,7/12/2019 14:46,7/12/2019 16:03,Product 3,6,40
SUCCESS,7/12/2019 14:44,7/12/2019 15:59,Product 3,6,40
SUCCESS,7/12/2019 14:43,7/12/2019 15:53,Product 3,6,40
FAILURE,7/12/2019 0:59,7/12/2019 1:53,Product 1,120,19200
FAILURE,7/12/2019 0:02,7/12/2019 0:13,Product 1,120,19200
FAILURE,7/11/2019 22:37,7/11/2019 22:41,Product 3,6,40
FAILURE,7/11/2019 20:51,7/11/2019 20:55,Product 3,6,40
CANCELLED,7/11/2019 13:25,7/11/2019 13:28,Product 2,16,960
FAILURE,7/10/2019 20:23,7/10/2019 21:08,Product 1,120,19200
SUCCESS,7/10/2019 20:18,7/10/2019 21:28,Product 3,6,40
FAILURE,7/10/2019 20:17,1/1/1970 0:00,Product 3,6,40
SUCCESS,7/10/2019 20:17,7/10/2019 21:26,Product 3,6,40
FAILURE,7/10/2019 20:11,7/10/2019 20:13,Product 3,6,40
FAILURE,7/10/2019 20:10,7/10/2019 20:13,Product 3,6,40
FAILURE,7/10/2019 18:33,7/10/2019 18:37,Product 3,14,100
FAILURE,7/10/2019 18:32,7/10/2019 18:36,Product 3,14,100
FAILURE,7/10/2019 17:34,7/10/2019 18:12,Product 1,120,19200
FAILURE,7/10/2019 17:14,1/1/1970 0:00,Product 1,120,19200
SUCCESS,7/10/2019 15:03,7/10/2019 15:48,Product 5,14,960
CANCELLED,7/10/2019 14:09,7/10/2019 14:25,Product 2,16,960
SUCCESS,7/10/2019 14:08,7/10/2019 14:56,Product 5,14,960
FAILURE,7/10/2019 11:59,7/10/2019 12:44,Product 5,14,960
